-1.000000,-0.002327,-0.018892,-0.001960,-0.009596
-1.000000,-0.002327,-0.018892,-0.001960,-0.009596
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.295426,-0.614325,-0.149472,-2.238540, 
0,-0.295379,-0.613602,-0.149589,-2.236165, 
0,-0.296990,-0.615503,-0.151732,-2.240446, 
0,-0.298841,-0.618697,-0.151665,-2.243484, 
0,-0.297642,-0.615433,-0.150276,-2.240305, 
0,-0.298188,-0.616563,-0.151341,-2.241782, 
0,-0.296807,-0.613757,-0.149005,-2.238802, 
0,-0.297552,-0.614721,-0.149409,-2.239814, 
0,-0.296373,-0.612441,-0.148880,-2.238110, 
0,-0.295634,-0.611422,-0.148902,-2.237452, 
1,-0.299599,-0.621843,-0.154059,-2.244896,"Baseline"
0,-0.295051,-0.614852,-0.149773,-2.236848, 
0,-0.294120,-0.613019,-0.148121,-2.233482, 
0,-0.289944,-0.609765,-0.145254,-2.230208, 
0,-0.296968,-0.617456,-0.151047,-2.237816, 
0,-0.305863,-0.621247,-0.150338,-2.241492, 
0,-0.518104,-0.692696,-0.186660,-2.314153, 
0,-0.634073,-0.594987,-0.133030,-2.211915, 
0,-1.168456,-0.656112,-0.154082,-2.284373, 
0,-1.640957,-0.661365,-0.161600,-2.351649, 
0,-1.906057,-0.671613,-0.167940,-2.430477, 
0,-1.890274,-0.678770,-0.183995,-2.534079, 
0,-1.930200,-0.681623,-0.191813,-2.606230, 
0,-1.922844,-0.686084,-0.197394,-2.660295, 
0,-1.882815,-0.717886,-0.213397,-2.725730, 
0,-1.836777,-0.682142,-0.195140,-2.730251, 
0,-1.841384,-0.723059,-0.217195,-2.806929, 
0,-1.837586,-0.704555,-0.206867,-2.819940, 
0,-1.829455,-0.695398,-0.202701,-2.846464, 
0,-1.826311,-0.698191,-0.203793,-2.880144, 
0,-1.829401,-0.699609,-0.204110,-2.909940, 
0,-1.832258,-0.701141,-0.205795,-2.941272, 
0,-1.834884,-0.702198,-0.206674,-2.972060, 
0,-1.837908,-0.702777,-0.207895,-3.001004, 
0,-1.841975,-0.703581,-0.207860,-3.023770, 
0,-1.845699,-0.704090,-0.207666,-3.044426, 
0,-1.852906,-0.711637,-0.213295,-3.078061, 
0,-1.870628,-0.728879,-0.225444,-3.122202, 
0,-1.864417,-0.714880,-0.214142,-3.123856, 
0,-1.861516,-0.712811,-0.212883,-3.142340, 
0,-1.859561,-0.712713,-0.213272,-3.163470, 
0,-1.864021,-0.714716,-0.213646,-3.184251, 
0,-1.866146,-0.715314,-0.214181,-3.205505, 
0,-1.869501,-0.716622,-0.213384,-3.222289, 
0,-1.869723,-0.718649,-0.214670,-3.242241, 
0,-1.870066,-0.721342,-0.214694,-3.260524, 
0,-1.866940,-0.719735,-0.212704,-3.273047, 
0,-1.877903,-0.739855,-0.222653,-3.308049, 
0,-1.893274,-0.764312,-0.234945,-3.351091, 
0,-1.866598,-0.712106,-0.209141,-3.316769, 
0,-1.876112,-0.724633,-0.213506,-3.341443, 
0,-1.871133,-0.705319,-0.207014,-3.335559, 
0,-1.869966,-0.706360,-0.206326,-3.344075, 
0,-1.875123,-0.717383,-0.211643,-3.370144, 
0,-1.879177,-0.718548,-0.213424,-3.387678, 
0,-1.881440,-0.717583,-0.213596,-3.399761, 
0,-1.880149,-0.718064,-0.212566,-3.409291, 
0,-1.879082,-0.716901,-0.211846,-3.419767, 
0,-1.880715,-0.717628,-0.213448,-3.435421, 
0,-1.884496,-0.719004,-0.213421,-3.446332, 
0,-1.887193,-0.719459,-0.214638,-3.458218, 
0,-1.886953,-0.719425,-0.215719,-3.470990, 
0,-1.888089,-0.720198,-0.214105,-3.479564, 
0,-1.889503,-0.720202,-0.215184,-3.491388, 
0,-1.888489,-0.720005,-0.216258,-3.505409, 
0,-1.889218,-0.720524,-0.217341,-3.516572, 
0,-1.892816,-0.722052,-0.217734,-3.527895, 
0,-1.892573,-0.722144,-0.218926,-3.542298, 
0,-1.894428,-0.723187,-0.218221,-3.551057, 
0,-1.895887,-0.724365,-0.218331,-3.558629, 
0,-1.898881,-0.724710,-0.220364,-3.569061, 
0,-1.899388,-0.723770,-0.219427,-3.574709, 
0,-1.897246,-0.722746,-0.218037,-3.578980, 
