-1.000000,-0.004535,-0.030591,-0.004405,-0.015926
-1.000000,-0.004535,-0.030591,-0.004405,-0.015926
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.427774,-0.331375,-5.061310,-4.333631, 
0,-0.427501,-0.331326,-5.062440,-4.334405, 
0,-0.427127,-0.330884,-5.063086,-4.334407, 
0,-0.427237,-0.330826,-5.062032,-4.333934, 
0,-0.428808,-0.332937,-5.063369,-4.335748, 
0,-0.427560,-0.332041,-5.063516,-4.335906, 
0,-0.427055,-0.331413,-5.062770,-4.334921, 
0,-0.428396,-0.334143,-5.063008,-4.337207, 
0,-0.428724,-0.334166,-5.062488,-4.336988, 
0,-0.426216,-0.330575,-5.061494,-4.334869, 
1,-0.427935,-0.331564,-5.061636,-4.333607,"Baseline"
0,-0.428701,-0.332853,-5.063361,-4.335251, 
0,-0.426560,-0.329142,-5.061156,-4.331310, 
0,-0.428892,-0.332964,-5.063533,-4.334944, 
0,-0.430563,-0.335465,-5.065562,-4.337753, 
0,-0.426949,-0.329131,-5.062548,-4.332382, 
0,-0.426435,-0.327777,-5.062145,-4.330882, 
0,-0.426919,-0.328761,-5.062562,-4.331546, 
0,-0.424739,-0.325739,-5.061392,-4.329182, 
0,-0.426664,-0.327479,-5.063832,-4.331646, 
0,-0.442691,-0.341900,-5.063726,-4.331782, 
0,-0.461293,-0.352594,-5.124105,-4.334479, 
0,-0.481970,-0.367757,-5.155317,-4.339554, 
0,-0.539018,-0.411521,-5.175436,-4.341838, 
0,-0.571499,-0.431787,-5.208687,-4.345777, 
0,-0.553354,-0.421795,-5.237214,-4.348269, 
0,-0.562685,-0.428677,-5.267381,-4.352706, 
0,-0.576693,-0.438777,-5.307167,-4.357538, 
0,-0.594234,-0.451922,-5.347765,-4.362722, 
0,-0.605019,-0.459310,-5.377971,-4.366387, 
0,-0.614211,-0.464575,-5.404377,-4.368763, 
0,-0.621320,-0.468330,-5.429892,-4.370952, 
0,-0.626687,-0.471039,-5.456954,-4.372995, 
0,-0.633279,-0.475904,-5.477904,-4.376474, 
0,-0.641103,-0.481544,-5.497502,-4.380111, 
0,-0.645553,-0.483505,-5.516378,-4.381485, 
0,-0.649368,-0.485781,-5.535740,-4.384252, 
0,-0.652547,-0.487285,-5.554143,-4.386034, 
0,-0.660075,-0.495016,-5.574500,-4.392666, 
0,-0.661376,-0.492851,-5.588067,-4.390197, 
0,-0.663901,-0.493144,-5.605494,-4.391350, 
0,-0.666760,-0.494993,-5.621998,-4.393692, 
0,-0.669640,-0.495968,-5.636639,-4.394595, 
0,-0.674517,-0.498151,-5.651614,-4.396629, 
0,-0.677866,-0.498019,-5.665383,-4.397412, 
0,-0.681077,-0.498470,-5.678730,-4.398415, 
0,-0.682907,-0.499333,-5.691333,-4.398319, 
0,-0.685494,-0.501608,-5.705814,-4.400083, 
0,-0.685884,-0.500329,-5.719123,-4.399375, 
0,-0.688758,-0.503286,-5.732055,-4.402184, 
0,-0.687841,-0.499595,-5.742369,-4.398981, 
0,-0.691681,-0.503438,-5.757359,-4.402758, 
0,-0.693302,-0.504582,-5.770185,-4.404054, 
0,-0.695813,-0.507044,-5.783387,-4.406684, 
0,-0.698817,-0.508872,-5.794632,-4.407670, 
0,-0.700892,-0.510005,-5.806953,-4.408799, 
0,-0.702618,-0.510980,-5.818525,-4.409509, 
0,-0.704128,-0.511900,-5.830105,-4.410468, 
0,-0.706527,-0.513720,-5.841860,-4.412136, 
0,-0.707986,-0.514789,-5.854347,-4.414053, 
0,-0.707806,-0.512101,-5.865182,-4.412056, 
0,-0.713885,-0.516992,-5.879278,-4.416165, 
0,-0.713224,-0.514523,-5.887410,-4.413788, 
0,-0.715769,-0.517008,-5.898075,-4.415921, 
0,-0.717345,-0.518605,-5.908884,-4.416850, 
0,-0.719097,-0.520209,-5.921928,-4.418940, 
0,-0.720197,-0.520339,-5.932769,-4.419775, 
0,-0.720863,-0.520247,-5.942686,-4.420761, 
0,-0.721696,-0.520291,-5.951649,-4.420869, 
0,-0.723127,-0.521122,-5.962017,-4.422421, 
0,-0.724234,-0.521333,-5.969703,-4.421999, 
0,-0.725359,-0.521698,-5.978894,-4.422149, 
0,-0.728450,-0.524650,-5.991547,-4.425799, 
0,-0.730503,-0.528043,-6.002252,-4.430039, 
0,-0.721539,-0.511990,-6.002239,-4.414976, 
0,-0.738701,-0.539568,-6.023320,-4.439324, 
0,-0.731062,-0.525933,-6.024188,-4.426032, 
0,-0.730523,-0.523314,-6.032428,-4.424030, 
0,-0.732253,-0.525294,-6.042462,-4.425934, 
0,-0.731959,-0.523758,-6.050883,-4.424465, 
0,-0.731205,-0.521277,-6.058006,-4.422480, 
0,-0.733595,-0.524461,-6.066014,-4.424742, 
0,-0.733985,-0.524204,-6.072837,-4.424326, 
0,-0.735320,-0.525339,-6.081966,-4.425286, 
0,-0.735203,-0.524460,-6.090257,-4.424127, 
0,-0.735607,-0.524620,-6.098111,-4.424332, 
0,-0.736744,-0.525293,-6.105869,-4.425023, 
0,-0.739323,-0.527877,-6.115533,-4.427645, 
0,-0.740747,-0.529085,-6.125155,-4.428938, 
0,-0.741059,-0.528221,-6.133718,-4.428830, 
0,-0.741085,-0.527178,-6.140976,-4.428926, 
0,-0.743181,-0.529664,-6.149614,-4.431807, 
0,-0.741405,-0.525423,-6.153923,-4.428558, 
0,-0.746150,-0.533096,-6.164800,-4.436030, 
0,-0.742946,-0.525127,-6.168495,-4.429111, 
0,-0.746824,-0.531538,-6.178709,-4.435959, 
0,-0.744437,-0.527075,-6.184424,-4.433461, 
0,-0.746027,-0.528683,-6.192130,-4.435933, 
0,-0.747781,-0.530390,-6.200038,-4.437670, 
0,-0.747955,-0.529490,-6.206984,-4.438411, 
0,-0.748887,-0.530306,-6.214276,-4.440918, 
0,-0.749016,-0.530184,-6.220358,-4.442061, 
0,-0.749986,-0.530323,-6.226447,-4.442492, 
0,-0.751632,-0.531052,-6.234593,-4.444548, 
0,-0.751650,-0.530632,-6.241646,-4.446067, 
0,-0.752170,-0.530933,-6.248207,-4.448225, 
0,-0.752475,-0.530338,-6.254193,-4.449771, 
0,-0.753577,-0.531308,-6.261273,-4.452573, 
0,-0.755518,-0.532805,-6.268075,-4.455492, 
0,-0.754156,-0.531421,-6.271445,-4.455585, 
0,-0.755187,-0.532215,-6.275898,-4.456754, 
0,-0.756024,-0.532659,-6.283096,-4.458781, 
0,-0.756660,-0.532904,-6.290268,-4.461066, 
0,-0.757888,-0.533391,-6.296405,-4.463117, 
0,-0.757489,-0.532175,-6.301593,-4.463976, 
0,-0.757870,-0.532066,-6.307256,-4.465160, 
0,-0.757111,-0.531940,-6.314332,-4.468190, 
0,-0.757920,-0.532525,-6.321082,-4.471054, 
0,-0.759511,-0.533700,-6.328612,-4.475436, 
0,-0.760065,-0.533129,-6.333776,-4.477516, 
0,-0.760955,-0.533157,-6.337480,-4.479241, 
0,-0.761575,-0.532847,-6.342889,-4.480954, 
0,-0.762876,-0.533784,-6.350017,-4.484190, 
0,-0.763700,-0.534199,-6.357788,-4.488063, 
0,-0.763915,-0.533960,-6.364007,-4.491593, 
0,-0.764447,-0.534317,-6.368620,-4.494400, 
0,-0.765068,-0.534674,-6.372803,-4.496523, 
0,-0.765669,-0.535079,-6.379331,-4.500065, 
0,-0.765720,-0.534941,-6.385138,-4.503107, 
0,-0.766072,-0.535157,-6.389564,-4.505954, 
0,-0.766778,-0.535812,-6.394523,-4.508943, 
0,-0.767221,-0.535912,-6.398747,-4.511649, 
0,-0.767726,-0.536084,-6.402605,-4.513700, 
0,-0.768212,-0.536374,-6.408537,-4.517218, 
0,-0.768274,-0.536686,-6.414220,-4.520971, 
0,-0.769139,-0.537075,-6.419165,-4.524158, 
0,-0.769974,-0.537509,-6.424921,-4.527436, 
0,-0.770303,-0.537488,-6.428881,-4.529588, 
0,-0.770773,-0.537449,-6.433371,-4.532296, 
0,-0.771152,-0.537535,-6.438446,-4.535494, 
0,-0.771485,-0.537626,-6.443307,-4.538613, 
0,-0.772059,-0.537959,-6.448258,-4.541478, 
0,-0.772005,-0.538042,-6.453604,-4.544917, 
0,-0.772965,-0.538871,-6.457743,-4.547830, 
0,-0.773801,-0.539537,-6.464076,-4.551946, 
0,-0.774220,-0.539882,-6.468667,-4.555248, 
0,-0.773850,-0.539056,-6.473134,-4.557641, 
0,-0.775706,-0.541086,-6.479898,-4.562728, 
0,-0.775537,-0.539892,-6.485106,-4.565551, 
0,-0.775782,-0.539979,-6.490413,-4.569420, 
0,-0.776002,-0.539689,-6.495745,-4.573098, 
0,-0.776754,-0.540301,-6.500498,-4.577039, 
0,-0.776942,-0.540389,-6.504665,-4.580515, 
0,-0.777707,-0.540728,-6.507948,-4.583545, 
0,-0.777594,-0.540411,-6.511693,-4.586540, 
0,-0.778302,-0.540729,-6.515449,-4.589269, 
0,-0.778842,-0.541048,-6.519794,-4.592397, 
0,-0.779091,-0.541076,-6.523815,-4.595307, 
0,-0.779706,-0.541442,-6.527861,-4.598601, 
0,-0.780464,-0.541839,-6.532446,-4.602098, 
0,-0.781017,-0.542115,-6.536964,-4.605287, 
0,-0.780998,-0.541812,-6.541140,-4.607562, 
0,-0.782131,-0.543630,-6.546417,-4.612133, 
0,-0.783393,-0.545580,-6.549653,-4.615854, 
0,-0.779066,-0.539225,-6.549345,-4.612301, 
0,-0.783497,-0.545101,-6.556944,-4.620324, 
