-1.000000,0.007564,-0.026873,-0.000720,-0.015621
-1.000000,0.007564,-0.026873,-0.000720,-0.015621
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-2.492661,-0.462479,-0.185824,-1.376781, 
0,-2.489957,-0.464297,-0.186696,-1.378226, 
0,-2.488354,-0.464436,-0.186428,-1.377777, 
0,-2.489024,-0.464047,-0.185283,-1.376645, 
0,-2.498021,-0.465120,-0.186484,-1.377199, 
0,-2.503944,-0.465774,-0.186596,-1.377355, 
0,-2.508407,-0.470005,-0.189289,-1.382028, 
0,-2.507601,-0.472270,-0.188958,-1.383330, 
0,-2.513658,-0.477955,-0.192437,-1.388120, 
0,-2.504862,-0.457885,-0.182569,-1.369118, 
1,-2.472890,-0.435630,-0.172019,-1.350482,"Baseline"
0,-2.488272,-0.474317,-0.192132,-1.386723, 
0,-2.489903,-0.478405,-0.194417,-1.390617, 
0,-2.497847,-0.495749,-0.202442,-1.410938, 
0,-2.481472,-0.465984,-0.188071,-1.382970, 
0,-2.459921,-0.441252,-0.173100,-1.354397, 
0,-2.456529,-0.460528,-0.173173,-1.342848, 
0,-2.492154,-0.503256,-0.177741,-1.354570, 
0,-2.478640,-0.499444,-0.187046,-1.373194, 
0,-2.462455,-0.484181,-0.198503,-1.373912, 
0,-2.463175,-0.492747,-0.210516,-1.385452, 
0,-2.481211,-0.517577,-0.207906,-1.389463, 
0,-2.496474,-0.531619,-0.209059,-1.397216, 
0,-2.503364,-0.545143,-0.206953,-1.400214, 
0,-2.503705,-0.550236,-0.208893,-1.405148, 
0,-2.506372,-0.556861,-0.208836,-1.407303, 
0,-2.509258,-0.565280,-0.211267,-1.410727, 
0,-2.513050,-0.569504,-0.214611,-1.414209, 
0,-2.516128,-0.575260,-0.218700,-1.420316, 
0,-2.519734,-0.580603,-0.221660,-1.424488, 
0,-2.516817,-0.578626,-0.221564,-1.425075, 
0,-2.513316,-0.581443,-0.225232,-1.431643, 
0,-2.517382,-0.580853,-0.226100,-1.435548, 
0,-2.528592,-0.585210,-0.230165,-1.444156, 
0,-2.534361,-0.586043,-0.233516,-1.450878, 
0,-2.530605,-0.581397,-0.235774,-1.453414, 
0,-2.526741,-0.582216,-0.237162,-1.461014, 
0,-2.524823,-0.582708,-0.236642,-1.466556, 
0,-2.524840,-0.588707,-0.240285,-1.476860, 
0,-2.517222,-0.584322,-0.239364,-1.476951, 
0,-2.519515,-0.588251,-0.241960,-1.485294, 
0,-2.517707,-0.588810,-0.244404,-1.490460, 
0,-2.522142,-0.587879,-0.247383,-1.495149, 
0,-2.522944,-0.584733,-0.248368,-1.499511, 
0,-2.522175,-0.582515,-0.250359,-1.503204, 
0,-2.524824,-0.584625,-0.251040,-1.508291, 
0,-2.517948,-0.586060,-0.252725,-1.516460, 
0,-2.518628,-0.588282,-0.255548,-1.525717, 
0,-2.515229,-0.586109,-0.256949,-1.530156, 
0,-2.516542,-0.590138,-0.259335,-1.539529, 
0,-2.513924,-0.583809,-0.256972,-1.539433, 
0,-2.511859,-0.585373,-0.257643,-1.545004, 
0,-2.508976,-0.584357,-0.259415,-1.549118, 
0,-2.509582,-0.580570,-0.258601,-1.550556, 
0,-2.510829,-0.584177,-0.262454,-1.558598, 
0,-2.503843,-0.583405,-0.263490,-1.563430, 
0,-2.499607,-0.588024,-0.267034,-1.573023, 
0,-2.494333,-0.582681,-0.265547,-1.573287, 
0,-2.490395,-0.585489,-0.267020,-1.580719, 
0,-2.488744,-0.585344,-0.266323,-1.583659, 
0,-2.492642,-0.585758,-0.265902,-1.587187, 
0,-2.494701,-0.585689,-0.266260,-1.590517, 
0,-2.495302,-0.586839,-0.267576,-1.595631, 
0,-2.495208,-0.584457,-0.267102,-1.598175, 
0,-2.496520,-0.585361,-0.269339,-1.604082, 
0,-2.496998,-0.584683,-0.268896,-1.607266, 
0,-2.492560,-0.582864,-0.268009,-1.610003, 
0,-2.491022,-0.584246,-0.269501,-1.615796, 
0,-2.491568,-0.587647,-0.271864,-1.623186, 
0,-2.490947,-0.588257,-0.273185,-1.627689, 
0,-2.490350,-0.584111,-0.271167,-1.627344, 
0,-2.493485,-0.585754,-0.271246,-1.631490, 
0,-2.492508,-0.585984,-0.271484,-1.634566, 
0,-2.492912,-0.586821,-0.272900,-1.639393, 
0,-2.491850,-0.582254,-0.270949,-1.638865, 
0,-2.494854,-0.588869,-0.274008,-1.647071, 
0,-2.486194,-0.582427,-0.271296,-1.644288, 
0,-2.484430,-0.584940,-0.273868,-1.649856, 
0,-2.482468,-0.578486,-0.270911,-1.646818, 
0,-2.477862,-0.580648,-0.271103,-1.651563, 
0,-2.476505,-0.584180,-0.272627,-1.657653, 
0,-2.479139,-0.584438,-0.272462,-1.661265, 
0,-2.482563,-0.584335,-0.272653,-1.663515, 
