-1.000000,-0.002801,-0.026561,-0.006571,-0.024711
-1.000000,-0.002801,-0.026561,-0.006571,-0.024711
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.206867,-0.365160,-4.199395,-3.758615, 
0,-0.206124,-0.364501,-4.198473,-3.757444, 
0,-0.207660,-0.367413,-4.201581,-3.761228, 
0,-0.210642,-0.371641,-4.205995,-3.766280, 
0,-0.208910,-0.368324,-4.204917,-3.763104, 
0,-0.208590,-0.367296,-4.203800,-3.761964, 
0,-0.208199,-0.365912,-4.202735,-3.760716, 
0,-0.207943,-0.364979,-4.201740,-3.759971, 
0,-0.208465,-0.365283,-4.202007,-3.760663, 
0,-0.209178,-0.365943,-4.203130,-3.762068, 
1,-0.204878,-0.362520,-4.198129,-3.755453,"Baseline"
0,-0.150851,-0.277410,-4.146318,-3.665825, 
0,-0.206118,-0.363314,-4.197169,-3.756246, 
0,-0.204485,-0.362028,-4.195641,-3.755455, 
0,-0.208009,-0.361841,-4.195641,-3.754524, 
0,-0.220824,-0.383410,-4.228303,-3.780313, 
0,-0.253933,-0.435267,-4.297738,-3.832572, 
0,-0.241459,-0.379566,-4.299948,-3.772406, 
0,-0.460827,-0.409263,-4.436782,-3.789660, 
0,-0.807388,-0.456097,-4.534937,-3.813617, 
0,-0.873123,-0.473543,-4.576102,-3.825296, 
0,-0.869182,-0.478220,-4.607816,-3.835034, 
0,-0.920844,-0.490171,-4.662520,-3.847430, 
0,-1.060243,-0.511351,-4.696986,-3.856639, 
0,-1.138536,-0.530884,-4.730997,-3.866958, 
0,-1.191566,-0.540126,-4.765690,-3.873835, 
0,-1.191009,-0.548529,-4.800161,-3.885386, 
0,-1.216039,-0.556216,-4.834059,-3.894700, 
0,-1.249142,-0.564888,-4.865134,-3.903279, 
0,-1.280298,-0.573302,-4.895014,-3.912325, 
0,-1.308174,-0.580064,-4.925044,-3.920316, 
0,-1.328326,-0.586591,-4.956159,-3.928828, 
