-1.000000,-0.000332,-0.041117,-0.003260,-0.035635
-1.000000,-0.000332,-0.041117,-0.003260,-0.035635
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.045973,-0.670922,-0.290520,-3.378553, 
0,-0.045838,-0.670405,-0.290218,-3.378235, 
0,-0.045120,-0.669347,-0.289489,-3.377525, 
0,-0.045669,-0.669893,-0.290060,-3.379025, 
0,-0.045138,-0.669878,-0.289902,-3.378482, 
0,-0.047595,-0.673607,-0.291877,-3.382820, 
0,-0.046192,-0.671451,-0.290758,-3.381598, 
0,-0.044854,-0.669554,-0.289798,-3.379985, 
0,-0.044299,-0.668736,-0.289162,-3.379597, 
0,-0.051918,-0.680553,-0.295676,-3.391387, 
1,-0.046775,-0.671322,-0.290334,-3.377976,"Baseline"
0,-0.052264,-0.679239,-0.294830,-3.385799, 
0,-0.042925,-0.664896,-0.287625,-3.372110, 
0,-0.045283,-0.669685,-0.289696,-3.375676, 
0,-0.047471,-0.670326,-0.290351,-3.375438, 
0,-0.049455,-0.675131,-0.292550,-3.379722, 
0,-0.045275,-0.668661,-0.289495,-3.373583, 
0,-0.041750,-0.663030,-0.286809,-3.368245, 
0,-0.042813,-0.664981,-0.287309,-3.369202, 
0,-0.048477,-0.673141,-0.291160,-3.376194, 
0,-0.043002,-0.663606,-0.286688,-3.366863, 
0,-0.044926,-0.666885,-0.288491,-3.369444, 
0,-0.045807,-0.668612,-0.289597,-3.370944, 
0,-0.045040,-0.667179,-0.288751,-3.369243, 
0,-0.046550,-0.669019,-0.289741,-3.370667, 
0,-0.042876,-0.663426,-0.287045,-3.364979, 
0,-0.047989,-0.671924,-0.290689,-3.372368, 
0,-0.047416,-0.670811,-0.290165,-3.370750, 
0,-0.047355,-0.670849,-0.290372,-3.370468, 
0,-0.045777,-0.667494,-0.288671,-3.367177, 
0,-0.045958,-0.667666,-0.288683,-3.366615, 
