-1.000000,-0.008292,-0.022008,-0.003742,-0.004723
-1.000000,-0.008292,-0.022008,-0.003742,-0.004723
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
-1.000000,0.000000,0.000000,0.000000,0.000000
0,-0.265637,-5.357096,-4.213641,-4.688975, 
0,-0.265731,-5.356635,-4.213805,-4.688769, 
0,-0.266332,-5.358438,-4.215380,-4.691420, 
0,-0.270652,-5.364235,-4.219817,-4.697244, 
0,-0.275749,-5.374354,-4.225404,-4.706234, 
0,-0.271547,-5.367833,-4.221973,-4.699081, 
0,-0.266739,-5.359973,-4.218769,-4.691476, 
0,-0.266681,-5.359743,-4.219520,-4.692175, 
0,-0.267063,-5.361147,-4.219908,-4.692998, 
0,-0.267000,-5.362217,-4.219841,-4.693697, 
1,-0.268476,-5.360537,-4.214038,-4.692643,"Baseline"
0,-0.266025,-5.358057,-4.211706,-4.689907, 
0,-0.271989,-5.368444,-4.217360,-4.700408, 
0,-0.261897,-5.348527,-4.207295,-4.680826, 
0,-0.263715,-5.354353,-4.216370,-4.686042, 
0,-0.260551,-5.347674,-4.254280,-4.678924, 
0,-0.264434,-5.353623,-4.265633,-4.683931, 
0,-0.272342,-5.367905,-4.353549,-4.697942, 
0,-0.275430,-5.370984,-4.362984,-4.701596, 
0,-0.269848,-5.361946,-4.359665,-4.692258, 
0,-0.274551,-5.367239,-4.401733,-4.697488, 
0,-0.263596,-5.340783,-4.395670,-4.670631, 
0,-0.274320,-5.354849,-4.412843,-4.682822, 
0,-0.278334,-5.360613,-4.421844,-4.687783, 
0,-0.281952,-5.362508,-4.424213,-4.688288, 
0,-0.285267,-5.363125,-4.429187,-4.687893, 
0,-0.287000,-5.359017,-4.430467,-4.682938, 
0,-0.293487,-5.366451,-4.438510,-4.688650, 
0,-0.297432,-5.370445,-4.443104,-4.691180, 
0,-0.300958,-5.373176,-4.449314,-4.692522, 
0,-0.302062,-5.371154,-4.452358,-4.689978, 
0,-0.296597,-5.361589,-4.451938,-4.678331, 
0,-0.302195,-5.368611,-4.458944,-4.683355, 
0,-0.305196,-5.371730,-4.463213,-4.684436, 
0,-0.306919,-5.373357,-4.469119,-4.685094, 
0,-0.308726,-5.374590,-4.473997,-4.684594, 
0,-0.310678,-5.376226,-4.478771,-4.684194, 
0,-0.311721,-5.377230,-4.481910,-4.682877, 
0,-0.313574,-5.377494,-4.486500,-4.682365, 
0,-0.315398,-5.378227,-4.490145,-4.682074, 
0,-0.316508,-5.379115,-4.494214,-4.681424, 
0,-0.318105,-5.380480,-4.498701,-4.681995, 
0,-0.319388,-5.381784,-4.502220,-4.681987, 
0,-0.320045,-5.382698,-4.505578,-4.681992, 
0,-0.321979,-5.384763,-4.509761,-4.682182, 
0,-0.322646,-5.385940,-4.513036,-4.681923, 
0,-0.323385,-5.387511,-4.516781,-4.681824, 
0,-0.324429,-5.388704,-4.520531,-4.681569, 
0,-0.325524,-5.390074,-4.522453,-4.680972, 
0,-0.326258,-5.391414,-4.526452,-4.680400, 
0,-0.327491,-5.392906,-4.530038,-4.680587, 
0,-0.327311,-5.392574,-4.532090,-4.678769, 
0,-0.328089,-5.393288,-4.535469,-4.678375, 
0,-0.329202,-5.394523,-4.538706,-4.677907, 
0,-0.330443,-5.396058,-4.541083,-4.677342, 
0,-0.330930,-5.396926,-4.545067,-4.677509, 
0,-0.332224,-5.398236,-4.547842,-4.677563, 
0,-0.332298,-5.399576,-4.551287,-4.677701, 
0,-0.333658,-5.401238,-4.553924,-4.677605, 
0,-0.334010,-5.401798,-4.555959,-4.676758, 
0,-0.335143,-5.402438,-4.558737,-4.675726, 
0,-0.335818,-5.403135,-4.562079,-4.675392, 
0,-0.336713,-5.403586,-4.566141,-4.675343, 
0,-0.337470,-5.403603,-4.568626,-4.675302, 
0,-0.338610,-5.404169,-4.571167,-4.674856, 
0,-0.339948,-5.405084,-4.574063,-4.674325, 
0,-0.340530,-5.405653,-4.575659,-4.673589, 
0,-0.340725,-5.406187,-4.577150,-4.673175, 
0,-0.340898,-5.406439,-4.580798,-4.672245, 
0,-0.341810,-5.407292,-4.584453,-4.673269, 
0,-0.342314,-5.407842,-4.585912,-4.672354, 
0,-0.343764,-5.408736,-4.589348,-4.671802, 
0,-0.344472,-5.409437,-4.590665,-4.671458, 
0,-0.344356,-5.409415,-4.592377,-4.670957, 
0,-0.345127,-5.410190,-4.594700,-4.671102, 
0,-0.346692,-5.411410,-4.596511,-4.670778, 
0,-0.347549,-5.412580,-4.599393,-4.670573, 
0,-0.347102,-5.412822,-4.600154,-4.669314, 
0,-0.348034,-5.413729,-4.604096,-4.669581, 
0,-0.347960,-5.413693,-4.605751,-4.669595, 
0,-0.349466,-5.414857,-4.608167,-4.669250, 
0,-0.350897,-5.415874,-4.609964,-4.668632, 
0,-0.350829,-5.416079,-4.611583,-4.668462, 
0,-0.350867,-5.416580,-4.613154,-4.667867, 
0,-0.351928,-5.417916,-4.616613,-4.667360, 
0,-0.352629,-5.418447,-4.620145,-4.667197, 
0,-0.353617,-5.419321,-4.622243,-4.666415, 
0,-0.354536,-5.420434,-4.624100,-4.665966, 
0,-0.354041,-5.420687,-4.625223,-4.665157, 
0,-0.354306,-5.420932,-4.627893,-4.664171, 
0,-0.356098,-5.422120,-4.630626,-4.664860, 
0,-0.357459,-5.423142,-4.632603,-4.663387, 
0,-0.358677,-5.424650,-4.634530,-4.663327, 
0,-0.358183,-5.424257,-4.635294,-4.662544, 
0,-0.358025,-5.423837,-4.637423,-4.661868, 
0,-0.360562,-5.426343,-4.640894,-4.663047, 
0,-0.360810,-5.427173,-4.642449,-4.663604, 
0,-0.359685,-5.424399,-4.643052,-4.660337, 
0,-0.360863,-5.426677,-4.645943,-4.661809, 
0,-0.363501,-5.429393,-4.647995,-4.662610, 
0,-0.362511,-5.426700,-4.648678,-4.659430, 
0,-0.363453,-5.427719,-4.651669,-4.659995, 
0,-0.364405,-5.428042,-4.653473,-4.659155, 
0,-0.364885,-5.429826,-4.655377,-4.659806, 
0,-0.366020,-5.431124,-4.656427,-4.658514, 
0,-0.366649,-5.431068,-4.658901,-4.657590, 
0,-0.367480,-5.430804,-4.660950,-4.658470, 
0,-0.366793,-5.427988,-4.661380,-4.657089, 
0,-0.367667,-5.426616,-4.663042,-4.656544, 
0,-0.369507,-5.427172,-4.664258,-4.656664, 
0,-0.368899,-5.426335,-4.666319,-4.656025, 
0,-0.368924,-5.426177,-4.667387,-4.655564, 
0,-0.369718,-5.427127,-4.669749,-4.655000, 
0,-0.371529,-5.428427,-4.670413,-4.654868, 
0,-0.372511,-5.428440,-4.671791,-4.654128, 
0,-0.372821,-5.429795,-4.673286,-4.654594, 
0,-0.373120,-5.430302,-4.674865,-4.653858, 
0,-0.375212,-5.432782,-4.675955,-4.654884, 
0,-0.378432,-5.438687,-4.680779,-4.659943, 
0,-0.375077,-5.432874,-4.679700,-4.652599, 
0,-0.376303,-5.433622,-4.680142,-4.651530, 
0,-0.376005,-5.433306,-4.680851,-4.649972, 
0,-0.377472,-5.435401,-4.684012,-4.651153, 
0,-0.378878,-5.436459,-4.685197,-4.651088, 
0,-0.378876,-5.437028,-4.686989,-4.651374, 
2,-0.381882,-5.440646,-4.689564,-4.653321,"Interferent"
0,-0.380754,-5.437574,-4.688347,-4.648502, 
0,-0.381652,-5.437462,-4.691375,-4.647503, 
0,-0.386501,-5.440850,-4.692453,-4.650430, 
0,-0.381041,-5.463475,-4.687707,-4.651273, 
0,-0.384936,-5.472294,-4.691881,-4.649045, 
0,-0.383364,-5.478851,-4.690677,-4.645419, 
0,-0.386254,-5.492100,-4.693655,-4.649686, 
0,-0.386145,-5.499433,-4.694708,-4.648630, 
0,-0.387609,-5.508187,-4.697077,-4.649732, 
0,-0.387743,-5.513469,-4.697148,-4.648534, 
0,-0.390617,-5.523557,-4.699340,-4.652084, 
0,-0.389336,-5.527373,-4.698995,-4.649791, 
0,-0.389950,-5.535798,-4.701199,-4.651106, 
0,-0.392158,-5.542900,-4.703066,-4.653301, 
0,-0.393143,-5.548485,-4.704608,-4.654914, 
0,-0.394716,-5.555109,-4.706277,-4.657508, 
0,-0.395414,-5.559815,-4.708259,-4.658032, 
0,-0.396342,-5.563271,-4.709363,-4.658927, 
0,-0.393877,-5.561484,-4.707738,-4.654612, 
0,-0.395525,-5.566419,-4.710077,-4.657638, 
0,-0.396355,-5.570468,-4.712443,-4.659160, 
0,-0.396725,-5.573198,-4.713297,-4.659939, 
0,-0.397932,-5.577223,-4.714462,-4.660759, 
0,-0.399451,-5.580691,-4.716881,-4.662716, 
0,-0.399394,-5.582943,-4.715936,-4.662770, 
0,-0.399372,-5.585432,-4.716951,-4.662801, 
0,-0.400007,-5.589203,-4.718174,-4.664110, 
0,-0.400744,-5.592745,-4.719608,-4.665052, 
0,-0.402138,-5.596249,-4.720449,-4.665872, 
0,-0.402100,-5.599125,-4.720749,-4.667479, 
0,-0.402457,-5.603189,-4.721359,-4.667826, 
0,-0.402773,-5.606103,-4.722783,-4.668035, 
0,-0.403896,-5.608778,-4.723262,-4.669042, 
0,-0.404731,-5.611728,-4.723571,-4.669218, 
0,-0.405407,-5.614557,-4.724692,-4.670451, 
0,-0.406682,-5.617770,-4.725831,-4.671115, 
0,-0.407102,-5.620651,-4.726561,-4.672053, 
0,-0.405658,-5.622929,-4.725653,-4.672212, 
0,-0.406892,-5.625460,-4.726201,-4.672315, 
0,-0.408591,-5.627774,-4.727457,-4.673506, 
0,-0.409495,-5.630377,-4.727614,-4.674690, 
0,-0.409580,-5.632974,-4.727126,-4.675172, 
0,-0.409675,-5.635428,-4.727392,-4.676221, 
0,-0.410693,-5.637059,-4.727426,-4.676151, 
0,-0.412213,-5.638603,-4.728492,-4.676395, 
0,-0.411918,-5.640741,-4.728613,-4.677088, 
0,-0.412915,-5.641594,-4.728679,-4.676870, 
0,-0.413485,-5.643040,-4.730613,-4.677643, 
0,-0.414341,-5.644668,-4.730818,-4.678610, 
0,-0.415183,-5.646372,-4.730756,-4.678790, 
0,-0.415235,-5.647630,-4.731830,-4.678373, 
0,-0.415997,-5.650418,-4.732266,-4.678423, 
0,-0.417424,-5.652488,-4.732961,-4.679107, 
0,-0.418064,-5.654179,-4.733723,-4.680453, 
0,-0.417899,-5.656390,-4.733938,-4.681320, 
0,-0.418672,-5.657886,-4.734641,-4.682081, 
0,-0.417985,-5.656805,-4.734214,-4.680899, 
0,-0.419632,-5.657242,-4.733406,-4.679706, 
0,-0.421152,-5.659111,-4.736760,-4.681987, 
0,-0.421292,-5.660797,-4.737883,-4.683408, 
0,-0.421909,-5.662332,-4.738631,-4.683452, 
0,-0.422495,-5.664096,-4.738201,-4.683957, 
0,-0.424051,-5.665643,-4.740008,-4.684425, 
0,-0.425631,-5.667138,-4.740379,-4.684769, 
0,-0.425015,-5.667463,-4.740671,-4.684432, 
0,-0.425760,-5.670535,-4.742718,-4.686463, 
0,-0.425676,-5.671702,-4.743222,-4.686589, 
0,-0.426225,-5.673160,-4.743540,-4.686862, 
0,-0.427212,-5.674480,-4.744544,-4.686933, 
0,-0.428679,-5.676368,-4.745842,-4.687341, 
0,-0.429772,-5.678311,-4.747104,-4.688373, 
0,-0.430005,-5.679996,-4.747902,-4.688475, 
0,-0.429165,-5.682252,-4.748059,-4.688972, 
0,-0.429697,-5.684449,-4.748615,-4.688977, 
0,-0.431183,-5.686406,-4.749936,-4.689754, 
0,-0.432309,-5.687896,-4.750388,-4.689561, 
0,-0.433397,-5.689587,-4.751270,-4.689387, 
0,-0.433872,-5.691410,-4.751611,-4.689628, 
0,-0.434872,-5.693506,-4.752463,-4.689997, 
0,-0.435637,-5.695041,-4.752969,-4.690507, 
0,-0.436359,-5.696989,-4.753859,-4.690809, 
0,-0.436228,-5.698386,-4.753816,-4.691604, 
0,-0.437036,-5.699164,-4.753352,-4.691108, 
0,-0.438558,-5.700365,-4.754673,-4.690881, 
0,-0.439738,-5.702274,-4.756256,-4.692098, 
0,-0.441706,-5.706701,-4.757738,-4.694805, 
0,-0.439857,-5.704060,-4.756556,-4.690645, 
0,-0.443390,-5.709202,-4.759944,-4.694847, 
0,-0.455409,-5.727738,-4.769627,-4.713733, 
